"","B.lactating","B.pregnant","B.virgin","L.lactating","L.pregnant","L.virgin"
"213956",-11.1368764724592,-10.8711944291585,-11.739089377337,-12.0398674407989,-12.3466496876446,-12.2967891805676
"106059",-14.6913731141793,-14.0763734457212,-15.2319674675564,-15.9325326171437,-15.2353181426156,-16.0168970053802
"213988",-9.29406684392174,-9.67864139658942,-9.56211787082771,-9.67790185618945,-9.77228532327141,-9.54599216293828
"11564",-11.0681271998744,-10.6646664171449,-10.5987638629889,-10.0662560889106,-10.3218907510383,-10.2252936760335
"105835",-12.2000460393855,-11.9065913374894,-11.9009715740444,-9.25124971700034,-9.9311591863854,-9.92626343136619
"223701",-9.06855702711319,-9.38917331361159,-9.73204711131422,-10.920239673774,-10.6329322614618,-10.5987072398244
"207911",-15.0120113986864,-13.1073474712944,-13.2651242530704,-15.4400325559162,-16.3871531860498,-13.2392285013043
"78102",-15.6155172409638,-15.9084949707598,-16.1512449595437,-12.0856245772816,-14.0256608270527,-13.0406882181756
"20524",-10.2989946185127,-10.3955634689368,-10.2559749946973,-9.13122980806117,-9.77956707488509,-9.08481511277976
"70356",-9.65990948379954,-9.55364802404847,-9.61749262036162,-9.0295627457573,-8.84809768744788,-9.07829220223789
"321003",-12.1134329738162,-12.1122225280911,-12.1834116913827,-11.6647950176412,-11.9168462803964,-11.7134479097343
"56438",-10.7228412828086,-10.8148917862827,-10.8084552530815,-11.1006441752888,-11.0395623656078,-10.8303940064647
"328572",-8.97179486757155,-9.19387089283432,-8.93203911322279,-9.63684363223463,-9.26771351000032,-9.28798460709448
"214669",-11.8730124176197,-11.9373356419618,-11.7623440585607,-11.144961943786,-11.5307003000692,-11.6175575009375
"214685",-10.8142010800726,-9.20928721702338,-9.19020556023192,-13.8934978655838,-10.2051048822854,-11.0127495725165
"19387",-9.9720972143464,-9.22338980249126,-9.28898506760855,-8.90808890286308,-8.74925991825516,-8.91137829020877
"20286",-9.02372431305701,-8.95130462626376,-8.85737745690086,-9.88763300487695,-9.70118072038194,-9.26612105345023
"21685",-10.8325880870875,-10.3279015615174,-10.4279551635402,-10.5685134952347,-11.2381740182339,-10.3576192166231
"57259",-8.60482471445686,-8.78540125252414,-8.42111131051904,-8.75671655721637,-8.74478808956247,-8.674820684061
"68479",-11.0392711236487,-10.6898733067696,-10.6298286832066,-10.1149222345986,-10.3537198183336,-10.5730766060632
"11429",-9.13452962071003,-8.82422609746275,-9.20377750489207,-7.88797387941065,-8.57724364206307,-8.890323400773
"78929",-11.0708434784355,-10.8845293232085,-10.9612806502875,-10.6004847477702,-10.5421496953569,-10.7657480656247
"105859",-9.85012235990184,-9.52899236598861,-10.2698990873982,-14.6667250481428,-13.5108396859843,-12.1391143131413
"29858",-11.6198600052971,-11.597695647416,-11.3814225193819,-11.883941632026,-11.5703711929086,-10.9280347963377
"28075",-9.89452905947912,-9.75183168502258,-9.92034204809522,-9.38407173301532,-8.92987916387151,-9.31258860996712
"14375",-11.1252750948383,-10.6905275724784,-10.6528705529953,-10.3744916360943,-10.4977843207124,-10.359058959067
"20826",-10.3128294419724,-10.1432380435225,-9.68203331925829,-10.6410394060295,-10.5404480971593,-10.2689817368416
"76457",-12.3568736891954,-12.0526764158419,-12.0009225833336,-10.7620197591001,-10.9646477773175,-11.4048190271183
"20788",-7.62701926564127,-8.10277335002474,-8.4478778299489,-8.75869084044836,-8.66524566599372,-8.40720732140789
"435145",-11.6428672247382,-11.4048472588229,-12.0640838579548,-14.8646619275868,-12.6172671060589,-14.7118966658453
"72049",-14.9390494680082,-14.5185158908311,-15.2319674675564,-14.4283889667003,-12.6644315905934,-15.6278826533687
"66570",-14.8074273513264,-12.951465196808,-12.5770486911032,-11.7245410792087,-12.5005095474117,-12.3558388088657
"24050",-9.62781588490338,-9.56930558618818,-11.906665524936,-15.2623535872955,-14.7726651311904,-16.0173651016033
"74716",-16.1505393752547,-15.6323619338088,-15.8306790681923,-13.6389139965547,-15.5818535369976,-15.6288079666618
"17939",-10.4547205130587,-10.5538164949569,-10.4270578477007,-8.86463878544671,-9.78140349322437,-9.98322470860344
"338368",-13.0278449160937,-13.1392478907428,-13.263012931933,-16.3156121538717,-16.758113240164,-14.5887490378896
"69029",-10.7011179270924,-10.659895649433,-10.8282081331816,-9.44802935206524,-9.94403024516889,-10.2613366729971
"67130",-11.2174259926871,-11.3247004540297,-11.5642071094723,-11.0759834951732,-11.0220968234708,-11.0215799153991
