"","Length","Symbol","MCL1.DG","MCL1.DH","MCL1.DI","MCL1.DJ","MCL1.DK","MCL1.DL","MCL1.LA","MCL1.LB","MCL1.LC","MCL1.LD","MCL1.LE","MCL1.LF"
"40",1732,"Tmem70",485,428,605,522,503,467,438,385,417,375,448,506
"41",603,"Ly96",33,21,54,38,52,31,75,89,167,144,106,88
"42",4809,"Jph1",199,162,214,183,136,109,83,49,55,45,42,43
"43",3938,"Gdap1",2,2,22,18,14,10,2,2,1,1,0,1
"44",6923,"Pi15",122,234,170,273,112,76,11,10,4,1,2,2
"45",4006,"Crispld1",419,768,315,298,257,261,9,10,5,3,1,7
"46",6391,"Tfap2b",1715,1540,1545,1787,2114,2638,1918,1692,200,61,99,85
"47",12928,"Pkhd1",0,0,0,0,0,1,14,22,3,0,0,0
"48",2886,"Mcm3",1394,1176,733,504,143,116,1737,1458,1102,354,552,591
"49",4420,"Paqr8",154,164,101,84,77,70,32,37,3,6,1,1
"50",2208,"Efhc1",88,77,38,62,75,77,33,37,4,11,5,5
"51",1409,"Tram2",145,109,65,76,92,90,117,99,55,61,51,54
"52",1112,"Tmem14a",52,78,77,109,90,98,43,50,4,12,4,3
"53",1450,"Gsta3",4,2,3,4,8,5,6,8,32,89,38,35
"54",6980,"Kcnq5",1080,1113,881,947,1662,2240,1,4,2,2,1,3
"55",4844,"Ogfrl1",372,332,619,396,401,401,3240,2982,7155,5882,2986,2709
"56",4362,"B3gat2",56,70,95,77,56,66,49,60,69,84,37,47
"57",2259,"Smap1",739,808,850,814,774,736,473,562,599,535,453,439
"58",667,"Sdhaf4",99,73,95,134,89,123,182,148,102,101,112,105
"59",6467,"Fam135a",940,840,637,550,836,906,547,575,519,505,310,347
"60",3888,"Col9a1",245,725,1818,1461,197,181,825,1603,3121,3790,4874,5597
"61",5392,"Lmbrd1",1230,1176,1241,1444,1501,1512,1232,1413,1139,1323,587,513
"62",467,"Gm7846",174,193,168,144,121,97,212,219,208,132,72,84
